,potential_ceo_company
105462,Alexey Miller
105464,Gazprom
105565,Russian
105627,Allen Questrom
105628,Ron Johnson
106239,Hearst
106332,Macy
106339,Ron Johnson
106359,Penney Brian Sozzi
106360,Belus Capital Advisors
106361,Yahoo Finance
106411,Shannon StapletonInterim
106412,Mike Ullman
106414,Ron Johnson
106419,Bill Ackman
106424,Ron Johnson
106489,Mark LennihanInterim
106490,Mike UllmanRon Johnson
106492,Mike Ullman
106500,Penney
106526,Ron Johnson
106528,Mike Ullman
106538,Ron Johnson
106545,Ron Johnson
106549,Mike Ullman
106552,Ron Johnson
106554,Myron
106555,Mike Ullman
106568,Ullman
106576,Ron Johnson
106594,November
106595,Executive Chairman January
106626,Ron Johnson
106627,Penney
106632,Penney
106661,Penney
106675,Ullman
106678,Ron Johnson
106695,Chairman
106697,Executive Chairman January
106803,Alcoa
106883,Ron Johnson Apple
106890,Penney
106923,Ron Johnson
106924,Penney
106939,Penney
106942,Macy
106944,Ackman
107152,West
107566,Lloyd Blankfein Ben Bernanke
107623,Harvard
107629,Yale
107643,Friday Ackman
107644,Ron Johnson
107653,Ron Johnson
107845,November
107951,Bloomberg
108044,Howard Schultz
108048,Penney
108051,Mike Ullman Starbucks
108218,Pershing Square Capital Management
108245,Penney
108247,Ron Johnson Ackman
108645,Third Point
108702,National Committee Preserve Social Security Medicare Richtman
108797,Os
108798,Os
108799,Os
108829,Ron Johnson
109012,Wayne LaPierre
109164,Crude
109283,Metropolitan Museum Met
109284,Thomas Campbell
109285,Although Met
109388,Stephen
109399,Deputy Associate Director Division Monetary Affairs Board Governors Stacey Tevlin Assistant Director Division Research Statistics Board Governors
109650,November
109960,Michael
109995,Business Insider
110137,Bloomberg Ackman
110150,Arthur Scargill
110523,Texas
110526,November
110654,Consumer Discretionary Financials Industrials
110657,Mike KalasnikDays Ron Johnson
111028,Duncan Niederauer
111035,Garage
111104,This
111129,Securities Exchange Commission
111130,Lloyd Blankfein
111133,Blankfein
111141,Chairman Bob Iger
111148,Jeff Gomez
111149,Starlight Runner Entertainment
111187,Disney
111415,Business Insider
111490,Kevin
111561,John Stumpf
111562,Quarterly
111565,Jamie Dimon
111575,Jamie Dimon
112113,Chrysler
112278,Monday
112615,Pennington Biomedical Research Centre Louisiana Medical Prognosis Institute Copenhagen
112628,Bezos
112659,Our
112675,Amazon
113213,Anastasios Tommy Belesis
113214,John Thomas Financial
113288,President Homeland Security Counterterrorism
113328,We
113369,Facebook
113802,Getty ImagesDish
113803,Charlie Ergen
113868,Chairman
113951,John Thomas
113952,Shia
113953,LeBouf
113960,Chief Equities Strategist Belus Capital
113962,Sozzi
113963,Sozzi
113970,Ron Johnson
113971,Mike Ullman
114032,Michael Corbat
114106,Citi
114649,Daniel Baker
114685,IntelIntel
114686,Paul OtelliniIntel
114691,Paul Otellini Intel
114738,Don Thompson
114825,Citigroup
114826,April Fool
115739,Exxon
115885,International Consortium Investigative Journalists
115994,Citi
117366,Chanos
117394,Ric Edelman
117395,Edelman Financial Services
117425,Brian Moynihan Morgan Stanley
117446,America
117537,Ron Johnson
117810,Os
117946,The
117947,Barclays
117961,Barclays
118238,James Gorman
118590,Starbucks
118797,Lisa Monaco Assistant President Homeland Security Counterterrorism
119266,Sandy Weill
119267,Central Park West
119472,Don Thompson
119721,Goldman Sachs
119722,Lloyd Blankfein
119749,Big Mac
119751,Don Thompson
119753,Donald
120260,China
120282,Nov
120656,McNerney Jr Chairman President
